,Team_ID,Date,Var.5,Opponent,School,School_url,Var.8,Opponent_url,Pace,EFG,TOV,ORB,FTFGA,O_EFG,O_TOV,O_ORB,O_FTFGA
2398,eastern-kentucky,"Fri, Nov 13, 2015",,Coppin State,Eastern Kentucky,eastern-kentucky,W,coppin-state,88.3,0.593,11.3,27.8,0.24,0.448,19.8,34.1,0.299
2429,eastern-michigan,"Fri, Nov 13, 2015",,Vermont,Eastern Michigan,eastern-michigan,W,vermont,70.2,0.448,11.7,24.2,0.31,0.385,26.0,31.4,0.192
2461,eastern-washington,"Fri, Nov 13, 2015",@,Mississippi State,Eastern Washington,eastern-washington,L,mississippi-state,78.4,0.554,11.8,25.7,0.246,0.659,14.5,43.5,0.288
2577,fairleigh-dickinson,"Fri, Nov 13, 2015",@,Villanova (11),Fairleigh Dickinson,fairleigh-dickinson,L,villanova,77.7,0.325,14.5,16.3,0.206,0.536,13.0,36.8,0.246
2635,florida-atlantic,"Fri, Nov 13, 2015",@,Michigan State (13),Florida Atlantic,florida-atlantic,L,michigan-state,71.5,0.381,13.3,10.8,0.169,0.524,14.9,44.7,0.274
2663,florida-gulf-coast,"Sat, Nov 14, 2015",@,Ohio,Florida Gulf Coast,florida-gulf-coast,L,ohio,76.4,0.47,9.8,14.7,0.197,0.517,15.1,35.3,0.431
2695,florida-international,"Fri, Nov 13, 2015",,Trinity Baptist,Florida International,florida-international,W,trinity-baptist,64.1,,,,,0.538,7.4,17.9,0.264
2724,florida-state,"Sun, Nov 15, 2015",,Nicholls State,Florida State,florida-state,W,nicholls-state,80.9,0.738,15.1,30.4,0.311,0.44,20.1,11.4,0.19
2805,fresno-state,"Fri, Nov 13, 2015",,Pepperdine,Fresno State,fresno-state,W,pepperdine,79.2,0.413,13.6,26.2,0.27,0.423,21.2,17.6,0.423
2922,george-washington,"Fri, Nov 13, 2015",,Lafayette,George Washington,george-washington,W,lafayette,74.3,0.452,11.2,47.4,0.468,0.392,10.8,23.1,0.483
2980,georgia-southern,"Fri, Nov 13, 2015",,Webber,Georgia Southern,georgia-southern,W,webber,95.4,,,,,0.584,13.3,36.4,0.229
3010,georgia-state,"Fri, Nov 13, 2015",,Middle Georgia State,Georgia State,georgia-state,W,middle-georgia-state,71.6,,,,,0.477,8.7,30.0,0.152
3181,green-bay,"Fri, Nov 13, 2015",@,Stanford,Green Bay,green-bay,L,stanford,81.9,0.455,15.2,29.5,0.247,0.567,21.1,30.3,0.417
3413,houston-baptist,"Fri, Nov 13, 2015",@,New Mexico State,Houston Baptist,houston-baptist,L,new-mexico-state,76.0,0.422,12.0,19.0,0.234,0.627,20.0,38.5,0.288
3499,idaho-state,"Fri, Nov 13, 2015",,Great Falls,Idaho State,idaho-state,W,great-falls,78.7,,,,,0.509,22.6,35.3,0.453
3556,illinois-chicago,"Fri, Nov 13, 2015",,San Francisco,Illinois-Chicago,illinois-chicago,L,san-francisco,84.0,0.421,10.6,26.8,0.145,0.444,15.8,32.4,0.349
3584,illinois-state,"Fri, Nov 13, 2015",@,San Diego State,Illinois State,illinois-state,L,san-diego-state,74.5,0.354,11.8,25.0,0.215,0.51,21.9,30.0,0.458
3667,indiana-state,"Fri, Nov 13, 2015",,IUPUI,Indiana State,indiana-state,L,iupui,73.4,0.446,15.4,30.6,0.357,0.531,21.7,25.9,0.438
3748,iowa-state,"Mon, Nov 16, 2015",,Chicago State,Iowa State,iowa-state,W,chicago-state,89.5,0.652,17.4,30.0,0.232,0.373,18.4,18.4,0.107
3860,jackson-state,"Fri, Nov 13, 2015",@,Oregon,Jackson State,jackson-state,L,oregon,72.7,0.35,19.6,28.1,0.167,0.588,20.2,27.6,0.392
3891,jacksonville-state,"Fri, Nov 13, 2015",@,Central Michigan,Jacksonville State,jacksonville-state,L,central-michigan,71.5,0.493,9.3,36.8,0.183,0.604,16.4,37.0,0.646
3980,kansas-state,"Fri, Nov 13, 2015",,Maryland-Eastern Shore,Kansas State,kansas-state,W,maryland-eastern-shore,74.7,0.427,11.1,41.0,0.435,0.351,26.3,21.9,0.426
4034,kennesaw-state,"Fri, Nov 13, 2015",@,Alabama,Kennesaw State,kennesaw-state,L,alabama,73.1,0.409,19.4,27.0,0.345,0.544,14.8,25.7,0.263
4065,kent-state,"Sat, Nov 14, 2015",,Youngstown State,Kent State,kent-state,W,youngstown-state,78.4,0.477,17.1,42.1,0.262,0.475,15.7,12.5,0.217
4300,long-beach-state,"Sat, Nov 14, 2015",,Brigham Young-Hawaii,Long Beach State,long-beach-state,W,brigham-young-hawaii,81.7,,,,,0.523,13.4,33.3,0.354
4328,long-island-university,"Mon, Nov 16, 2015",@,Loyola (MD),Long Island University,long-island-university,W,loyola-md,68.3,0.461,15.5,44.7,0.188,0.482,17.7,33.3,0.273
4388,louisiana-lafayette,"Fri, Nov 13, 2015",,Louisiana College,Louisiana-Lafayette,louisiana-lafayette,W,louisiana-college,83.9,,,,,0.623,12.6,43.3,0.319
4417,louisiana-monroe,"Fri, Nov 13, 2015",,McMurry,Louisiana-Monroe,louisiana-monroe,W,mcmurry,68.4,,,,,0.67,17.0,40.9,0.321
4446,louisiana-state,"Fri, Nov 13, 2015",,McNeese State,Louisiana State,louisiana-state,W,mcneese-state,72.6,0.533,11.8,34.9,0.262,0.427,12.2,23.7,0.274
4536,loyola-il,"Fri, Nov 13, 2015",,Texas-San Antonio,Loyola (IL),loyola-il,W,texas-san-antonio,72.6,0.563,27.0,31.8,0.333,0.49,28.4,27.6,0.275
4563,loyola-marymount,"Fri, Nov 13, 2015",,Cal State Fullerton,Loyola Marymount,loyola-marymount,W,cal-state-fullerton,78.4,0.389,10.6,31.8,0.319,0.526,21.6,28.1,0.246
4766,maryland-baltimore-county,"Fri, Nov 13, 2015",@,Wake Forest,Maryland-Baltimore County,maryland-baltimore-county,L,wake-forest,76.1,0.469,9.5,21.4,0.185,0.399,16.3,50.0,0.333
4797,maryland-eastern-shore,"Fri, Nov 13, 2015",@,Kansas State,Maryland-Eastern Shore,maryland-eastern-shore,L,kansas-state,74.7,0.351,26.3,21.9,0.426,0.427,11.1,41.0,0.435
4855,massachusetts-lowell,"Fri, Nov 13, 2015",@,Northwestern,Massachusetts-Lowell,massachusetts-lowell,L,northwestern,68.5,0.393,14.5,18.4,0.232,0.523,7.5,32.5,0.188
4912,mcneese-state,"Fri, Nov 13, 2015",@,Louisiana State (21),McNeese State,mcneese-state,L,louisiana-state,72.6,0.427,12.2,23.7,0.274,0.533,11.8,34.9,0.262
5054,michigan-state,"Fri, Nov 13, 2015",,Florida Atlantic,Michigan State,michigan-state,W,florida-atlantic,71.5,0.524,14.9,44.7,0.274,0.381,13.3,10.8,0.169
5107,middle-tennessee,"Tue, Nov 17, 2015",@,Murray State,Middle Tennessee,middle-tennessee,L,murray-state,75.2,0.453,19.0,17.6,0.321,0.508,17.1,17.6,0.271
5135,milwaukee,"Sun, Nov 15, 2015",@,Santa Clara,Milwaukee,milwaukee,W,santa-clara,69.4,0.557,21.9,20.0,0.5,0.574,23.1,20.0,0.234
5187,mississippi-state,"Fri, Nov 13, 2015",,Eastern Washington,Mississippi State,mississippi-state,W,eastern-washington,78.4,0.659,14.5,43.5,0.288,0.554,11.8,25.7,0.246
5213,mississippi-valley-state,"Sat, Nov 14, 2015",@,Nebraska,Mississippi Valley State,mississippi-valley-state,L,nebraska,77.3,0.284,21.7,26.2,0.31,0.632,17.2,37.9,0.439
5272,missouri-kansas-city,"Fri, Nov 13, 2015",@,Minnesota,Missouri-Kansas City,missouri-kansas-city,L,minnesota,70.9,0.419,18.3,32.4,0.097,0.564,16.9,20.0,0.255
5300,missouri-state,"Fri, Nov 13, 2015",@,Oral Roberts,Missouri State,missouri-state,L,oral-roberts,71.8,0.463,21.1,29.0,0.278,0.5,9.1,20.6,0.429
5355,monmouth,"Fri, Nov 13, 2015",@,UCLA,Monmouth,monmouth,W,ucla,76.6,0.424,7.6,18.2,0.319,0.435,21.6,43.5,0.304
